March 2005 - February 2010 Contiguous U.S. County Average Temperature,,,,,
Units: Degrees Fahrenheit,,,,,
Missing: -99, Rank out of 122 Years,,,,
Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,64,50,0.1,63.9
AL-003,Baldwin County,67.2,86,0.4,66.8
AL-005,Barbour County,64.8,48,0,64.8
AL-007,Bibb County,63,67,0.3,62.7
AL-009,Blount County,61.2,88,0.6,60.6
AL-011,Bullock County,64.2,47,0.1,64.1
AL-013,Butler County,64.1,28,-0.4,64.5
AL-015,Calhoun County,61.5,89,0.5,61
AL-017,Chambers County,61.9,74,0.3,61.6
AL-019,Cherokee County,60.9,68,0.3,60.6
AL-021,Chilton County,63,67,0.3,62.7
AL-023,Choctaw County,64.6,52,0.1,64.5
AL-025,Clarke County,65,54,0.2,64.8
AL-027,Clay County,60.9,54,0.2,60.7
AL-029,Cleburne County,60.4,86,0.5,59.9
AL-031,Coffee County,65.3,38,-0.1,65.4
AL-033,Colbert County,60.2,68,0.3,59.9
AL-035,Conecuh County,65,31,-0.4,65.4
AL-037,Coosa County,62.4,46,0.1,62.3
AL-039,Covington County,65.3,35,-0.3,65.6
AL-041,Crenshaw County,64.1,31,-0.4,64.5
AL-043,Cullman County,60.8,81,0.5,60.3
AL-045,Dale County,65.5,37,-0.2,65.7
AL-047,Dallas County,64.4,49,0.1,64.3
AL-049,DeKalb County,59.5,66,0.2,59.3
AL-051,Elmore County,63.8,44,0.1,63.7
AL-053,Escambia County,65.8,39,-0.2,66
AL-055,Etowah County,61.3,81,0.4,60.9
AL-057,Fayette County,61.9,43,0,61.9
AL-059,Franklin County,60.2,57,0.2,60
AL-061,Geneva County,66.3,74,0.2,66.1
AL-063,Greene County,63.8,44,0,63.8
AL-065,Hale County,63.8,51,0.1,63.7
AL-067,Henry County,65.4,34,-0.2,65.6
AL-069,Houston County,66.4,42,-0.1,66.5
AL-071,Jackson County,59.7,70,0.3,59.4
AL-073,Jefferson County,62.3,88,0.5,61.8
AL-075,Lamar County,62,44,0,62
AL-077,Lauderdale County,59.8,74,0.3,59.5
AL-079,Lawrence County,60.3,61,0.2,60.1
AL-081,Lee County,63.2,54,0.3,62.9
AL-083,Limestone County,60.4,87,0.5,59.9
AL-085,Lowndes County,64.5,42,-0.1,64.6
AL-087,Macon County,64.2,52,0.1,64.1
AL-089,Madison County,60.5,87,0.5,60
AL-091,Marengo County,64.5,61,0.2,64.3
AL-093,Marion County,60.8,52,0,60.8
AL-095,Marshall County,60.7,73,0.4,60.3
AL-097,Mobile County,66.9,88,0.4,66.5
AL-099,Monroe County,65.1,43,0,65.1
AL-101,Montgomery County,64.5,46,0,64.5
AL-103,Morgan County,60.7,81,0.5,60.2
AL-105,Perry County,63.8,65,0.2,63.6
AL-107,Pickens County,63,44,-0.1,63.1
AL-109,Pike County,64.4,37,-0.3,64.7
AL-111,Randolph County,60.9,78,0.5,60.4
AL-113,Russell County,64.5,73,0.3,64.2
AL-115,St. Clair County,61.6,82,0.5,61.1
AL-117,Shelby County,62.4,75,0.4,62
AL-119,Sumter County,64.1,53,0.1,64
AL-121,Talladega County,62,54,0.2,61.8
AL-123,Tallapoosa County,62.2,43,0,62.2
AL-125,Tuscaloosa County,63,44,0,63
AL-127,Walker County,61.9,69,0.3,61.6
AL-129,Washington County,65.4,45,0.1,65.3
AL-131,Wilcox County,64.7,46,0,64.7
AL-133,Winston County,60.4,52,0.1,60.3
AZ-001,Apache County,50.8,105,1.1,49.7
AZ-003,Cochise County,61.9,113,1.6,60.3
AZ-005,Coconino County,53.3,108,1.6,51.7
AZ-007,Gila County,60.4,112,1.9,58.5
AZ-009,Graham County,61.6,110,1.4,60.2
AZ-011,Greenlee County,56.9,109,1.2,55.7
AZ-012,La Paz County,72.2,112,2,70.2
AZ-013,Maricopa County,71.4,115,2.3,69.1
AZ-015,Mohave County,63.1,112,1.7,61.4
AZ-017,Navajo County,52.5,108,1.4,51.1
AZ-019,Pima County,68.4,114,1.9,66.5
AZ-021,Pinal County,69.6,115,2,67.6
AZ-023,Santa Cruz County,61.5,113,1.7,59.8
AZ-025,Yavapai County,60.2,113,2,58.2
AZ-027,Yuma County,73,115,2.1,70.9
AR-001,Arkansas County,62.6,79,0.5,62.1
AR-003,Ashley County,63.7,92,0.5,63.2
AR-005,Baxter County,58,109,0.9,57.1
AR-007,Benton County,57.7,85,0.5,57.2
AR-009,Boone County,57.2,86,0.4,56.8
AR-011,Bradley County,62.8,53,0.2,62.6
AR-013,Calhoun County,62.6,45,-0.1,62.7
AR-015,Carroll County,57.3,87,0.4,56.9
AR-017,Chicot County,63.9,78,0.4,63.5
AR-019,Clark County,62.2,54,0.1,62.1
AR-021,Clay County,59.2,89,0.4,58.8
AR-023,Cleburne County,59.5,90,0.6,58.9
AR-025,Cleveland County,62.5,57,0.2,62.3
AR-027,Columbia County,63.3,50,-0.1,63.4
AR-029,Conway County,60.6,81,0.4,60.2
AR-031,Craighead County,60.2,98,0.8,59.4
AR-033,Crawford County,59.8,86,0.5,59.3
AR-035,Crittenden County,61.9,92,0.6,61.3
AR-037,Cross County,61.4,88,0.7,60.7
AR-039,Dallas County,62.3,55,0,62.3
AR-041,Desha County,63,73,0.3,62.7
AR-043,Drew County,63.1,72,0.4,62.7
AR-045,Faulkner County,61,83,0.5,60.5
AR-047,Franklin County,59.6,81,0.4,59.2
AR-049,Fulton County,57.4,99,0.9,56.5
AR-051,Garland County,61,57,0.2,60.8
AR-053,Grant County,62.3,67,0.2,62.1
AR-055,Greene County,59.5,90,0.6,58.9
AR-057,Hempstead County,62.6,55,0,62.6
AR-059,Hot Spring County,61.9,53,0.2,61.7
AR-061,Howard County,61.4,53,0.2,61.2
AR-063,Independence County,59.5,98,0.8,58.7
AR-065,Izard County,58.2,97,0.7,57.5
AR-067,Jackson County,60.5,103,0.9,59.6
AR-069,Jefferson County,62.4,68,0.3,62.1
AR-071,Johnson County,58.8,69,0.2,58.6
AR-073,Lafayette County,63.6,56,0.2,63.4
AR-075,Lawrence County,59.3,97,0.6,58.7
AR-077,Lee County,62.2,94,0.6,61.6
AR-079,Lincoln County,62.8,76,0.4,62.4
AR-081,Little River County,63,86,0.5,62.5
AR-083,Logan County,60.4,70,0.3,60.1
AR-085,Lonoke County,61.8,67,0.2,61.6
AR-087,Madison County,56.9,87,0.4,56.5
AR-089,Marion County,57.7,99,0.6,57.1
AR-091,Miller County,63.9,81,0.4,63.5
AR-093,Mississippi County,60.7,90,0.6,60.1
AR-095,Monroe County,62.1,75,0.5,61.6
AR-097,Montgomery County,60.3,54,0.1,60.2
AR-099,Nevada County,62.6,48,-0.1,62.7
AR-101,Newton County,56.7,80,0.3,56.4
AR-103,Ouachita County,62.7,37,-0.3,63
AR-105,Perry County,61.1,76,0.3,60.8
AR-107,Phillips County,62.6,94,0.7,61.9
AR-109,Pike County,61.2,52,0,61.2
AR-111,Poinsett County,60.8,96,0.8,60
AR-113,Polk County,59.6,73,0.3,59.3
AR-115,Pope County,59.4,74,0.4,59
AR-117,Prairie County,61.8,70,0.3,61.5
AR-119,Pulaski County,61.8,73,0.3,61.5
AR-121,Randolph County,58.4,80,0.4,58
AR-123,St. Francis County,61.8,87,0.6,61.2
AR-125,Saline County,61.4,57,0.2,61.2
AR-127,Scott County,60.1,74,0.4,59.7
AR-129,Searcy County,57.6,98,0.6,57
AR-131,Sebastian County,60.9,86,0.5,60.4
AR-133,Sevier County,62,76,0.3,61.7
AR-135,Sharp County,58.1,96,0.7,57.4
AR-137,Stone County,58.3,92,0.7,57.6
AR-139,Union County,63.3,53,0.1,63.2
AR-141,Van Buren County,58.7,91,0.5,58.2
AR-143,Washington County,57.8,90,0.5,57.3
AR-145,White County,60.8,80,0.5,60.3
AR-147,Woodruff County,61.3,83,0.6,60.7
AR-149,Yell County,60.9,75,0.3,60.6
CA-001,Alameda County,59.1,106,1.2,57.9
CA-003,Alpine County,44.3,112,1,43.3
CA-005,Amador County,58.1,111,0.8,57.3
CA-007,Butte County,59.8,111,1,58.8
CA-009,Calaveras County,58.4,109,0.8,57.6
CA-011,Colusa County,61.4,112,1,60.4
CA-013,Contra Costa County,60,107,1.2,58.8
CA-015,Del Norte County,52.1,104,1.4,50.7
CA-017,El Dorado County,54.2,107,0.8,53.4
CA-019,Fresno County,55.8,111,1.4,54.4
CA-021,Glenn County,60.1,110,0.8,59.3
CA-023,Humboldt County,54,106,1.1,52.9
CA-025,Imperial County,74.3,115,2.1,72.2
CA-027,Inyo County,61.3,112,1.8,59.5
CA-029,Kern County,62.2,113,1.7,60.5
CA-031,Kings County,63.9,112,1.4,62.5
CA-033,Lake County,57,105,0.7,56.3
CA-035,Lassen County,47.1,106,1.1,46
CA-037,Los Angeles County,62.1,115,2.3,59.8
CA-039,Madera County,56.4,111,1.3,55.1
CA-041,Marin County,55.8,103,1,54.8
CA-043,Mariposa County,55.7,112,1.2,54.5
CA-045,Mendocino County,55.2,92,0.4,54.8
CA-047,Merced County,62.5,114,1.5,61
CA-049,Modoc County,46.9,109,1.4,45.5
CA-051,Mono County,44.5,110,1.3,43.2
CA-053,Monterey County,58.5,105,1.3,57.2
CA-055,Napa County,59.4,107,1.2,58.2
CA-057,Nevada County,52.4,106,0.7,51.7
CA-059,Orange County,64.6,115,2.3,62.3
CA-061,Placer County,53.9,112,0.8,53.1
CA-063,Plumas County,47.8,111,1,46.8
CA-065,Riverside County,68.7,115,2,66.7
CA-067,Sacramento County,62.1,111,1,61.1
CA-069,San Benito County,58.9,108,1.6,57.3
CA-071,San Bernardino County,66.9,113,1.9,65
CA-073,San Diego County,63.4,115,2.2,61.2
CA-075,San Francisco County,56.8,98,1.1,55.7
CA-077,San Joaquin County,62,109,1.3,60.7
CA-079,San Luis Obispo County,59.5,113,1.5,58
CA-081,San Mateo County,56.6,103,1.3,55.3
CA-083,Santa Barbara County,58.5,110,2,56.5
CA-085,Santa Clara County,58.3,106,1.5,56.8
CA-087,Santa Cruz County,56.8,99,1.2,55.6
CA-089,Shasta County,55.2,107,0.9,54.3
CA-091,Sierra County,47.5,111,1.1,46.4
CA-093,Siskiyou County,49,109,1.2,47.8
CA-095,Solano County,61,109,1.2,59.8
CA-097,Sonoma County,57,105,0.9,56.1
CA-099,Stanislaus County,61.6,112,1.3,60.3
CA-101,Sutter County,63,112,1.2,61.8
CA-103,Tehama County,58.6,105,0.7,57.9
CA-105,Trinity County,52.4,106,0.9,51.5
CA-107,Tulare County,54.7,110,1.5,53.2
CA-109,Tuolumne County,50.4,110,0.8,49.6
CA-111,Ventura County,58.2,113,2.2,56
CA-113,Yolo County,62,109,1.1,60.9
CA-115,Yuba County,60.7,110,0.9,59.8
CO-001,Adams County,49.5,95,1.1,48.4
CO-003,Alamosa County,42.8,100,1.1,41.7
CO-005,Arapahoe County,49,90,0.9,48.1
CO-007,Archuleta County,43.6,102,1,42.6
CO-009,Baca County,53.8,87,0.7,53.1
CO-011,Bent County,53.6,95,1,52.6
CO-013,Boulder County,44.8,101,1,43.8
CO-014,Broomfield County,50.7,102,1.2,49.5
CO-015,Chaffee County,38.1,99,0.7,37.4
CO-017,Cheyenne County,51.5,95,1,50.5
CO-019,Clear Creek County,37.2,95,0.8,36.4
CO-021,Conejos County,40.2,100,0.9,39.3
CO-023,Costilla County,42,99,1.1,40.9
CO-025,Crowley County,52.1,102,1.3,50.8
CO-027,Custer County,41.5,99,0.9,40.6
CO-029,Delta County,47,105,2.1,44.9
CO-031,Denver County,50.7,100,1.1,49.6
CO-033,Dolores County,43.4,103,1.7,41.7
CO-035,Douglas County,46.9,86,0.6,46.3
CO-037,Eagle County,39.2,99,0.8,38.4
CO-039,Elbert County,47.5,96,0.9,46.6
CO-041,El Paso County,48,100,1,47
CO-043,Fremont County,45.5,91,0.6,44.9
CO-045,Garfield County,43.4,102,1.4,42
CO-047,Gilpin County,39.3,96,0.8,38.5
CO-049,Grand County,37.1,98,0.9,36.2
CO-051,Gunnison County,38.2,102,1.2,37
CO-053,Hinsdale County,35.8,103,1.5,34.3
CO-055,Huerfano County,46.9,99,0.9,46
CO-057,Jackson County,36.8,103,1.2,35.6
CO-059,Jefferson County,46.3,96,0.8,45.5
CO-061,Kiowa County,52.5,93,0.9,51.6
CO-063,Kit Carson County,50.9,92,1,49.9
CO-065,Lake County,34.4,95,0.6,33.8
CO-067,La Plata County,44.7,102,1.3,43.4
CO-069,Larimer County,42.3,102,1.5,40.8
CO-071,Las Animas County,51.3,99,1,50.3
CO-073,Lincoln County,49.7,95,0.9,48.8
CO-075,Logan County,50.1,101,1.2,48.9
CO-077,Mesa County,47.6,105,2.1,45.5
CO-079,Mineral County,36.6,104,1.3,35.3
CO-081,Moffat County,43.8,101,1.5,42.3
CO-083,Montezuma County,48.6,102,1.3,47.3
CO-085,Montrose County,47.8,105,2.2,45.6
CO-087,Morgan County,49.6,101,1.8,47.8
CO-089,Otero County,53.5,100,1.2,52.3
CO-091,Ouray County,41.7,104,2,39.7
CO-093,Park County,38.2,89,0.5,37.7
CO-095,Phillips County,50.1,99,1.2,48.9
CO-097,Pitkin County,37.9,102,1.1,36.8
CO-099,Prowers County,53.6,88,0.6,53
CO-101,Pueblo County,52.3,103,1,51.3
CO-103,Rio Blanco County,44.2,103,1.6,42.6
CO-105,Rio Grande County,39.3,100,0.9,38.4
CO-107,Routt County,39.6,100,1.2,38.4
CO-109,Saguache County,39.3,100,0.9,38.4
CO-111,San Juan County,34.9,102,1.6,33.3
CO-113,San Miguel County,45,104,1.9,43.1
CO-115,Sedgwick County,50,92,1,49
CO-117,Summit County,35.4,98,0.7,34.7
