,index,latitude,longitude,date,FIPS
0,2,43.41549,-72.33093,07-06-2016,33019
1,3,42.15685,-96.34203,25-05-2018,31173
2,4,48.25422,-101.3166,21-04-2000,38101
3,5,35.74875,-82.26195,15-03-1988,37199
4,6,45.31278,-109.6449,15-12-1971,30095
5,7,46.05292,-112.571,15-12-1988,30093
6,8,37.46041,-92.63587,14-04-2018,29229
7,10,44.16985,-85.63835,01-10-2000,26165
8,13,42.6688,-71.9023,17-12-1977,25027
9,14,32.895,-93.45,12-11-1971,22119
10,15,30.85052,-89.81163,01-06-1991,22117
11,16,32.45763,-93.36627,14-07-1976,22119
12,17,32.4197,-93.4386,15-06-1979,22119
13,18,42.01496,-71.58914,15-05-2008,25027
14,19,42.54334,-71.80123,08-11-2010,25027
15,21,42.08363,-71.83971,09-05-2016,25027
16,23,43.6676,-70.6235,27-02-2016,23031
17,24,43.2045,-70.81187,14-02-2017,23031
18,25,44.50587,-85.51546,21-10-2000,26165
19,26,44.45835,-85.6667,25-09-2008,26165
20,28,45.9754,-112.4554,15-08-2007,30093
21,29,35.75278,-82.22121,21-08-2011,37199
22,30,40.76345,-75.11044,21-12-2005,34041
23,31,40.8192,-74.85561,31-03-2007,34041
24,33,40.89452,-74.79077,02-10-2015,34041
25,34,36.599,-105.4113,17-05-2000,35055
26,35,36.19625,-105.5596,02-10-2006,35055
27,37,36.65339,-105.9678,20-02-2011,35055
28,38,31.1458,-93.2512,15-07-1979,22115
29,39,32.8057,-92.40895,15-11-1977,22111
30,42,30.74715,-91.76733,11-05-2015,22097
31,43,31.5831,-93.50845,12-11-2003,22085
32,44,31.6498,-93.0887,05-03-1993,22069
33,45,30.509,-90.6763,04-01-1997,22063
34,46,31.6825,-92.3104,05-04-2000,22059
35,47,30.2576,-92.6221,14-10-1972,22001
36,48,29.5385,-90.593,15-05-1970,22109
37,50,32.0131,-91.14448,15-06-1980,22107
38,51,30.96745,-91.0955,28-01-2001,22037
39,52,30.49905,-91.01565,05-06-1982,22033
40,56,31.4871,-92.3309,06-12-1996,22043
41,57,31.41787,-92.28034,15-02-2010,22079
42,58,31.368,-92.422,21-01-2017,22079
43,59,31.6825,-92.3104,18-11-2000,22059
44,60,32.0199,-92.914,22-12-2005,22069
45,61,31.1375,-92.4976,15-07-1977,22079
46,62,31.3799,-92.37835,15-07-1978,22079
47,63,31.40304,-92.46844,15-10-1980,22079
48,64,31.3058,-92.4054,01-06-1981,22079
49,65,31.3904,-92.3495,01-07-1985,22079
50,66,31.4676,-92.2508,22-08-2000,22043
51,67,31.14195,-93.2952,05-07-1980,22115
52,69,32.7817,-93.9467,15-11-1987,22017
53,70,31.08774,-91.84467,14-10-2025,22009
54,72,30.8346,-92.64896,15-11-1980,22003
55,73,42.64809,-72.91994,20-04-2015,25011
56,75,41.60551,-70.97708,17-05-2009,25005
57,76,41.73125,-70.48792,15-12-1977,25001
58,79,39.21564,-77.4608,15-08-1994,24031
59,83,39.67183,-76.34047,15-09-1993,24025
60,88,39.06392,-77.2948,15-03-2014,24031
61,90,39.64819,-78.32549,15-05-1989,24043
62,94,42.7396,-73.21289,05-09-2015,25003
63,95,42.07867,-73.38644,11-09-2015,25003
64,97,42.34607,-73.16418,06-11-2015,25003
65,98,42.08354,-73.47686,28-02-2016,25003
66,99,42.63678,-73.16617,30-04-2016,25003
67,100,41.74419,-70.95906,06-07-2010,25005
68,102,42.12302,-72.89154,01-10-2000,25013
69,103,42.08179,-72.82665,14-08-2011,25013
70,104,42.12697,-70.97559,13-07-1979,25023
71,105,42.17865,-70.75587,25-11-2000,25023
72,106,41.83664,-70.89049,17-11-2009,25023
73,107,42.09091,-71.42092,25-06-2013,25021
74,108,41.85164,-70.95207,09-04-2015,25023
75,109,30.1878,-90.8493,23-10-2000,22005
76,111,38.63295,-75.80465,15-04-1999,24019
77,116,44.6908,-69.3614,30-01-2016,23027
78,117,46.1333,-68.8405,15-11-1970,23021
